Year,Metabolite,Country,City,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
2017,methamphetamine,DE,Hannover (2),2.95,1.7,1.42,0.94,1.57,1.87,1.59,02.08,1.45,1.72
2017,methamphetamine,DE,Magdeburg,87.02,73.42,85.28,93.91,92.93,82.6,81.24,80.56,88.68,85.2
2017,methamphetamine,DE,Mainz,3.55,3.24,3.21,0.99,01.02,1.1,1.12,2.64,1.58,02.03
2017,methamphetamine,DE,Munich G,9.11,7.3,6.87,8.97,9.58,6.86,7.98,8.13,08.07,8.1
2017,methamphetamine,DE,Nuremberg,75.19,66.59,108.38,117.42,115.05,99.52,81.23,74.34,110.09,94.77
2017,methamphetamine,DE,Rostock,2.8,3.65,01.03,2.43,3.19,03.04,1.81,2.76,2.42,2.57
2017,methamphetamine,DE,Saarbrücken (2),0,0,0,0,0,0,0,0,0,0
2017,methamphetamine,DE,Stuttgart,5.82,5.49,6.65,6.36,,5.37,5.5,5.6,6.13,5.86
2017,methamphetamine,ES,Barcelona,49.68,48.82,48.19,51.35,46.99,51.82,45.83,48.11,49.59,48.95
2017,methamphetamine,ES,Castellon,0,0,0,0,0,0,0,0,0,0
2017,methamphetamine,ES,Madrid VdlV,9.97,11.35,10.28,11.13,5.87,14.76,20.69,14.01,10.51,12.01
2017,methamphetamine,ES,Santiago,0,0,0,0,0,0,0,0,0,0
2017,methamphetamine,ES,Valencia (3),6.93,6.64,7.22,6.48,6.22,6.17,7.36,6.98,6.52,6.72
2017,methamphetamine,FI,Espoo,48.44,46.77,49.6,42.41,39.37,28.49,26.44,40.55,39.97,40.22
2017,methamphetamine,FI,Helsinki,42.05,47.19,51.69,52.68,52.42,41.37,34.62,41.29,49.54,46
2017,methamphetamine,FI,Tampere,27.7,24.54,18.66,29.71,28.83,24.34,20.44,24.23,25.39,24.89
2017,methamphetamine,FI,Turku,12.14,4.28,20.44,23.99,28.6,21.96,11.75,9.39,23.75,17.59
2017,methamphetamine,FR,Bordeaux I,0,0,0,0,0,0,0,0,0,0
2017,methamphetamine,FR,Fort-de-France P,0,0,0,0,0,0,0,0,0,0
2017,methamphetamine,FR,Paris Seine Centre,0,0,0,0,0,0,0,0,0,0
2017,methamphetamine,FR,Paris South Suburbs,0,0,0,0,0,0,0,0,0,0
