Year;Metabolite;Site ID;Country;City;Wednesday;Thursday;Friday;Saturday;Sunday;Monday;Tuesday;Weekday mean;Weekend mean;Daily mean;Latitude;Longitude;Location;City;Country: City
2024;cocaine;FI021;FI;Rauma;23.51;15.33;Dez 41;37.17;32.01;34.42;17.99;18.94;29. Jan;24.69;6.112.724;2.151.127;MaanpÑÑnniemi;Rauma;FI: Rauma
2024;cocaine;FI022;FI;Rovaniemi;12. Jan;20. Jul;26.68;14.71;Nov 97;13.71;10. Apr;14. Jul;16.77;15.61;66.5;25.72;Alakorkalo;Rovaniemi;FI: Rovaniemi
2024;cocaine;FI024;FI;Savonlinna;Sep 24;Sep 52;13. Aug;Jun 54;09. Sep;09. Aug;Mrz 26;Jul 34;Sep 65;Aug 66;61.86;28.85;Pihlajaniemi;Savonlinna;FI: Savonlinna
2024;cocaine;FI025;FI;SeinÑjoki;Okt 42;11. Jul;14. Jul;Sep 55;19.48;Okt 48;Apr 52;Aug 88;13.55;Nov 55;6.279.446;2.282.822;SeinÑjoki;SeinÑjoki;FI: SeinÑjoki
2024;cocaine;FI026;FI;Tampere;41.76;67.78;67.19;104.72;122.56;61.75;50.67;53.41;89.05;73.78;61.49;23.77;Viinikanlahti;Tampere;FI: Tampere
2024;cocaine;FI027;FI;Turku;63.24;72.2;78.31;134.95;155.18;78.17;56.44;63.96;111.65;91.21;60.44;22.24;KakolanmÑki;Turku;FI: Turku
2024;cocaine;FI028;FI;Vaasa;Okt 36;13.56;Nov 87;33.39;43.38;27. Aug;20.94;14.95;29. Nov;23. Apr;63.1;21.62;Patt;Vaasa;FI: Vaasa
2024;cocaine;FI029;FI;Vihti;47.38;94.93;72.24;146.45;101.16;50.55;59.64;67.32;92.6;81.76;6.041.699;2.431.965;Nummela;Vihti;FI: Vihti
2024;cocaine;GB001;GB;Bristol;578.81;634.56;668.69;1317.85;933.55;539.87;791.36;668.24;864.99;780.67;51.503.457;-2.698.444;Avonmouth;Bristol;GB: Bristol
2024;cocaine;GR001;GR;Athens;155.11;162.7;176.56;191.22;222.8;195.57;164.51;160.77;196.54;181.21;379.928.017;237.658.005;City of Athens WWTP;Athens;GR: Athens
2024;cocaine;HR001;HR;Split;254.62;291.25;178.87;271.33;242.45;205.08;187.3;244.39;224.43;232.99;4.351.526.542;1.644.159.294;Wastewater sampling site at Katalini?a Brig, Split;Split;HR: Split
2024;cocaine;HR002;HR;Zagreb;701.45;562.9;629.84;;869.36;610.63;532.24;598.86;703.28;677.38;457.929.993;159.463.997;Central wastewater treatment plant of the city of Zagreb;Zagreb;HR: Zagreb
2024;cocaine;HU001;HU;Budapest;194.37;289.93;281.45;502.95;442.54;276.44;;226.22;375.85;311.72;4.750.155.794;1.904.200.692;N/A;Budapest;HU: Budapest
2024;cocaine;IE001;IE;Dublin;637.81;706.43;802.23;869.41;1117.36;1262.67;732.86;692.37;1012.92;875.54;5.334.874.586;-6.277.189.185;Ringsend;Dublin;IE: Dublin
2024;cocaine;IS002;IS;Reykjavik Klettagar–ar;258.44;247.43;461.06;523.85;485.41;326.42;270.02;258.63;449.19;367.52;64.126.521;-21.817.439;Klettagar–ar;Reykjavik Klettagar–ar;IS: Reykjavik Klettagar–ar
2024;cocaine;IT001;IT;Bologna;420.55;439.54;541.88;662.32;688.95;483.54;484.06;448.05;594.17;531.55;4.455.171.862;1.136.449.646;IDAR Bologna;Bologna;IT: Bologna
2024;cocaine;IT002;IT;Bozen;342.07;371.53;437.45;518.36;460.48;374.88;400.8;371.47;447.79;415.08;4.649.672;11.358;KlÑranlage Bozen;Bozen;IT: Bozen
2024;cocaine;IT003;IT;Milan;373.37;396.61;453.64;;;;369.47;381.89;453.64;402.39;454.337.997;92.213.602;Nosedo;Milan;IT: Milan
2024;cocaine;IT004;IT;Rome;459.04;460.09;507.07;481.28;532.55;500.23;409.99;443.04;505.28;478.61;41.812.778;124.252.602;Roma Sud;Rome;IT: Rome
2024;cocaine;LT001;LT;Kaunas;212.63;232.17;279.55;402.47;217.66;270.02;165.64;203.48;292.43;254.31;5.489.687;2.389.243;Kaunas;Kaunas;LT: Kaunas
2024;cocaine;LT002;LT;Klaipeda;122.38;117.47;123.84;161.89;242.8;235.68;144.99;128.28;191.05;164.15;5.578.282;2.149.279;Klaipeda;Klaipeda;LT: Klaipeda
2024;cocaine;LT003;LT;Vilnius;141.15;151.68;143.09;120.87;128.9;261.29;236.53;176.45;163.54;169.07;54.687.156;25.279.651;Vilniaus vandenys;Vilnius;LT: Vilnius
2024;cocaine;LU002;LU;Luxembourg;475.26;395.21;456.44;510.43;586.82;472.86;598.33;489.6;506.63;499.33;4.961.164.191;612.649.945;Beggen;Luxembourg;LU: Luxembourg
2024;cocaine;LV001;LV;Riga;153.17;211.81;209.25;211.81;319.93;195.18;117.53;160.84;234.04;202.67;5.694.965;24.105.186;Riga;Riga;LV: Riga
2024;cocaine;NL001;NL;Amsterdam;1279.78;1153.27;1150.3;1177.34;1361.33;1183.42;1138.49;1190.51;1218.1;1206.28;52.375;48.666.668;RWZI Amsterdam-WEST;Amsterdam;NL: Amsterdam
2024;cocaine;NL002;NL;Eindhoven;629.54;683.21;741.79;869.36;1046.87;986.51;711.92;674.89;911.13;809.89;514.421.082;54.800.701;RWZI Eindhoven;Eindhoven;NL: Eindhoven
2024;cocaine;NL003;NL;Groningen;966.04;789.28;821.37;1033.52;1157.57;930.65;830.37;861.9;985.78;932.69;5.324.730.146;6.670.277.244;RWZI Garmerwolde;Groningen;NL: Groningen
2024;cocaine;NL007;NL;Rotterdam (2);760.99;956.37;845.73;1170.06;1191.46;1196.45;689.39;802.25;1100.93;972.92;5.192.288;447.847;"RWZI Dokhaven; RWZI Kralinserveer";Rotterdam (2);NL: Rotterdam (2)
2024;cocaine;NL010;NL;Utrecht;572.59;509.88;646.16;792.97;899;722.94;676.27;586.25;765.27;688.55;520.858.002;51.308.398;RWZI Utrecht;Utrecht;NL: Utrecht
2024;cocaine;NL011;NL;Zwolle;396.29;396.21;458.65;606.95;591.66;508.25;490.75;427.75;541.38;492.68;5.251.015.878;6.049.675.057;RWZI Zwolle;Zwolle;NL: Zwolle
2024;cocaine;NO001;NO;Bergen (2);437.37;393.87;489.97;703.94;730.85;;415.88;421.12;641.59;515.61;6.039.453.688;5.289.335.039;Bergen;Bergen (2);NO: Bergen (2)
2024;cocaine;NO007;NO;Oslo (2);519.76;524.27;754.21;847.9;860.89;681.3;516.82;520.28;786.08;672.16;5.991.124.354;1.075.077.126;Oslo;Oslo (2);NO: Oslo (2)
2024;cocaine;NO009;NO;Trondheim (2);159.05;202.26;260.32;403.95;415.99;231.13;177.86;179.72;327.85;264.37;634.299.484.107.294;10.393.700.960.446.400;Trondheim;Trondheim (2);NO: Trondheim (2)
