Year,Country,City,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
2017,PT,Lisbon,274.36,266.78,286.82,282.26,291.67,227.69,,270.57,272.11,271.6
2017,PT,Porto,137.86,146.48,181.4,187.41,176.95,166.93,124.49,136.28,178.17,160.22
2017,SI,Ljubljana,449.1,459.86,393.18,597.42,468.39,343.22,437.11,448.69,450.55,449.76
2017,SK,Bratislava C,75.89,86.58,105.73,97.52,112.26,83.45,63.13,75.2,99.74,89.22
2017,SK,Piestany,3.86,3.69,6,7.9,9.61,7.9,5.52,4.36,7.85,6.35
2018,AT,Hall-Wattens,180.88,177.42,193.59,250.09,232.49,176.75,138.48,165.59,213.23,192.81
2018,AT,Innsbruck,277.43,309.18,366.45,421.89,429.46,273.04,271.11,285.91,372.71,335.51
2018,AT,Region Millstättersee,50.09,68.75,84.23,91.59,107.63,51.89,50.52,56.45,83.83,72.1
2018,AT,Wasserverband Hofsteig,134.63,139.53,162.76,276.42,279.05,154.05,126.7,133.62,218.07,181.88
2018,BE,Antwerp Zuid,669.67,750.51,805.87,945.86,792.43,800.29,637.89,686.02,836.11,771.79
2018,BE,Brugge,65.76,74.06,53.58,49.06,90.04,38.62,79.48,73.1,57.83,64.37
2018,BE,Brussels,345.77,391.83,455.31,562.4,585.36,353.05,334.01,357.2,489.03,432.53
2018,BE,Koksijde,54.56,83.29,91.26,109.59,102.49,86.57,81.59,73.15,97.48,87.05
2018,BE,Oostende,69.18,157.44,178.82,219.35,180.08,89.42,79.93,102.19,166.92,139.17
2018,CH,Basel,535.57,553.72,627.97,621.23,719.54,537.56,501.84,530.38,626.57,585.35
2018,CH,Berne,421.95,426.5,506.51,610.15,568.11,418.2,548,465.48,525.74,499.92
2018,CH,Geneva,509.39,493.4,673.24,836.39,733.42,488.77,468.43,490.41,682.96,600.44
2018,CH,St. Gallen Hofen,564.64,648.84,834.09,990.92,946.86,490.6,482.43,565.3,815.62,708.34
2018,CH,Zurich,709.06,764.95,773.04,1199.89,1125.49,783.85,635.45,703.15,970.57,855.96
2018,CZ,Brno,18.87,21.91,33.63,31.36,46.46,42.01,28.23,23,38.36,31.78
2018,CZ,České Budějovice,15.86,20.02,26.81,19.42,46.23,43.83,15.4,17.09,34.07,26.8
2018,DE,Berlin (4),308.93,312.14,299.54,392.23,417.43,374.19,297.08,306.05,370.85,343.08
2018,DE,Chemnitz,10.52,11.39,19.4,13.23,15.53,7.9,6.45,9.45,14.02,12.06
2018,DE,Dortmund,327.41,351.55,391.98,435.67,488.33,350.5,308.15,329.04,416.62,379.08
2018,DE,Dresden,26.2,26.78,29.38,58.06,48.74,19.59,24.29,25.76,38.94,33.29
2018,DE,Dülmen,46.99,58.36,87.96,157.86,254.46,113.98,98.67,68.01,153.57,116.9
2018,DE,Erfurt,42.92,40.39,46.67,61.61,59.08,43.48,28.18,37.16,52.71,46.05
2018,DE,Munich G,163.36,158.87,183.11,264.2,248.44,155.03,136.42,152.88,212.7,187.06
2018,DE,Saarbrücken (2),165.12,170.09,196.59,215.15,231.15,177.18,133.17,156.12,205.02,184.06
2018,DK,Copenhagen,361.86,336.52,446.2,649.9,582.35,369.45,513.74,404.04,511.98,465.72
2018,ES,Barcelona,703.9,793.61,822.13,988.29,880.39,538.16,405.83,634.45,807.24,733.19
2018,ES,Castellon,627.56,322.18,147.78,263.55,391.61,183.1,139.54,363.1,246.51,296.47
2018,ES,Madrid VdlV,239.1,275.93,298.99,312.54,325.13,452.97,310.66,275.23,347.41,316.47
2018,ES,Santiago,200.53,263.44,356.53,441.56,500.77,399.96,302.22,255.4,424.7,352.14
2018,ES,Valencia (3),363.48,231.79,530.62,740.98,762.33,743.42,739.24,444.83,694.34,587.41
2018,FI,Espoo,23.05,21.4,23.91,38.7,46.41,28.05,25.32,23.26,34.27,29.55
2018,FI,Helsinki,39.48,44.46,49.59,89.77,100.17,68.78,47.93,43.96,77.08,62.88
2018,FI,Hämeenlinna,6.8,13.78,8.18,7.87,6.28,4.14,3.48,08.02,6.62,7.22
2018,FI,Joensuu,4.76,2.54,1.28,1.74,1.88,1.15,01.06,2.79,1.51,02.06
2018,FI,Jyväskylä,3.75,3.17,02.03,3.99,2.94,3.13,3.16,3.36,03.02,3.17
2018,FI,Kajaani,0.53,0.12,0.25,0.38,0.11,0.47,0.69,0.45,0.3,0.36
2018,FI,Kemi,0.92,1.71,1.47,0.38,0.25,3.98,5.14,2.59,1.52,1.98
2018,FI,Kokkola,0.3,0.25,0.28,0.78,1.46,1.37,1.38,0.64,0.97,0.83
2018,FI,Kotka,13.26,12.12,15.76,16.89,20.7,23.52,16.53,13.97,19.22,16.97
2018,FI,Kouvola,8.26,5.78,13.05,10.96,8.8,4.99,5.82,6.62,9.45,8.24
2018,FI,Kuopio,1.62,1.37,3.42,2.72,2.57,01.05,0.35,1.11,2.44,1.87
2018,FI,Lahti,26.49,43.79,31.24,63.14,64.95,50.51,29.45,33.24,52.46,44.22
2018,FI,Lappeenranta,2.83,3.51,1.73,1.86,2.9,1.99,3.14,3.16,2.12,2.57
2018,FI,Mariehamn,35.06,29.67,16.58,22.05,43.12,,15.89,26.87,27.25,23.98
2018,FI,Mikkeli,2.79,3.2,2.87,2.45,02.06,02.07,1.82,2.6,2.36,2.47
2018,FI,Oulu,0.95,0.89,0.78,2.61,6.29,04.05,3.69,1.84,3.43,2.75
2018,FI,Pori,1.91,2.59,4.62,6.12,6.82,3.98,4.18,2.89,5.39,4.32
2018,FI,Rovaniemi,1.79,1.77,2.72,3.5,4.34,5.16,5.82,3.13,3.93,3.59
2018,FI,Savonlinna,0.98,0.82,0.54,0.73,3.1,3.46,3.56,1.79,1.96,1.89
2018,FI,Seinäjoki,1.52,0.84,0.93,0.51,0.65,1.21,0.65,1,0.83,0.9
2018,FI,Tampere,19.06,16.58,24.56,39.54,43.06,25.27,21.59,19.08,33.11,27.1
2018,FI,Turku,5.12,06.01,6.56,10.15,9.94,6.29,4.53,5.22,8.24,6.94
2018,FI,Vaasa,1.51,1.55,01.05,1.16,1.87,1.11,0.67,1.24,1.3,1.27
2018,FR,Bordeaux I,84.45,64.9,95.52,311.73,338.63,342.31,173.74,107.7,272.05,201.61
2018,FR,Paris Seine Centre,432.32,669.1,495.23,610,628.3,288.79,551.12,550.85,505.58,524.98
2018,FR,Paris South Suburbs,49.99,41.83,49.25,74.46,94.32,36.2,51.35,47.72,63.56,56.77
2018,GB,Bristol,607.03,740.41,887.35,991.02,1331.48,1345.17,882.15,743.2,1138.76,969.23
2018,HR,Zagreb,216.96,224.54,284.82,178.51,305.29,247.5,184.14,208.55,254.03,234.54
2018,IS,Reykjavik Klettagarðar,486.34,374.88,439.54,614.47,632.97,436.09,365.21,408.81,530.77,478.5
